artist_name,description,artist_description,title,region,machine_tags,user_tags,image_url,thumbnail,permalink,user_superclusters_formatted,user_superclusters_no_scores,user_superclusters_sum_of_scores,user_clusters_formatted,user_clusters_no_scores,user_clusters_sum_of_scores,machine_superclusters_formatted,machine_superclusters_no_scores,machine_superclusters_sum_of_scores,machine_clusters_formatted,machine_clusters_no_scores,machine_clusters_sum_of_scores,superclusters_fmeasure,clusters_fmeasure
Allora & Calzadilla,"This series of photographs is part of the body of work Allora & Calzadilla made regarding the situation in Vieques, an island off the mainland of Puerto Rico used for the 60 years by the U.S Military and NATO forces to practice military bombing exercises. In 2000, they began a collaboration with the local activists to make the campaign more visible. Having added cast rubber reliefs of their slogans and designs to the soles of their shoes, the activists stamped their protest on the reclaimed land. By slightly manipulating everyday objects to become communication tools, Allora & Calzadilla had created “mobile print-making machines” (Yates McKee, October 133, Summer 2010). They then photographed the ephemeral aftermath of these mark-making actions.  Like graffitied walls, the details of these impressions on sandy grounds are landscapes of dissent, willing the transition of propriety back to the inhabitants. In Land Mark #12, numerous footsteps with long statements stamp their resentment in different confused orientations. Such a beach scene might at first misleadingly be associated with a playful holiday snap. The fragility, uncertainty and relentlessness of this struggle is poetically summarized in this close-up of meaningful site-specific expression. The artists wrote: “How is land differentiated from other land by the way it is marked? Who decides what is worth preserving and what should be destroyed? What are the strategies for reclaiming marked land? How does one articulate an ethics and politics of land use?” (in Land Mark, de Tokyo, Paris, 2006).","Jennifer Allora and Guillermo Calzadilla comprise the artistic duo Allora & Calzadilla. Their work often takes the form of performances, installations, and sound pieces that refer to sociopolitical phenomena and history. Forms from these spheres of life—an overturned tank, a treadmill, a piano—are displaced and spliced together in new configurations, often with performers or viewers engaging with these material segments of the world.",Land Mark (Foot Prints) #12,Americas,"['land.n.01', 'mark.n.01', 'militant.n.01', 'protest.n.01', 'statement.n.01', 'ephemeral.s.01', 'force.n.01', 'struggle.n.01', 'scheme.n.01', 'playful.a.01', 'island.n.01', 'collaboration.n.01', 'military.a.01', 'machine.n.01', 'passage.n.01', 'tool.n.01', 'politics.n.01', 'paris.n.01', 'local.a.01', 'expression.n.01', 'details.n.01', 'design.n.01', 'visible.a.01', 'situation.n.01', 'impression.n.01']","['demobilization.n.01', 'landscape.n.03', 'footprint.n.02', 'intervention.n.01', 'documentation.n.01', 'trace.n.02']",https://kadist.org/wp-content/uploads/2016/04/img-34.jpg,https://kadist.org/wp-content/uploads/2016/04/img-34-300x200.jpg,https://kadist.org/work/land-mark-foot-prints-12/,"['Cultural/4.920751633986928', 'Politics/2.467760180995475', 'Society/1.75']","['Cultural', 'Politics', 'Society']",9.138511814982403,"['Arts/4.0318627450980395', 'Inequality/1.6985294117647058', 'Land/1.0']","['Arts', 'Inequality', 'Land']",6.730392156862745,"['Cultural/27.17207482060424', 'Individual_Personal/12.560159448394746', 'Politics/11.075224921277556']","['Cultural', 'Individual_Personal', 'Politics']",50.807459190276546,"['Arts/5.534640522875817', 'Fantasy/4.975757575757576', 'Technology/4.580882352941177']","['Arts', 'Fantasy', 'Technology']",15.091280451574569,0.6666666666666666,0.3333333333333333
Gabriel Kuri,"Gabriel Kuri has created a series of works in which he juxtaposes perennial and ephemeral materials. Untitled (Ticket Roll) belongs to this group of sculptures and consists of three smooth ornate marble elements and a roll of public transport tickets. The artist poetically associates finesse and fragility as in a number of these works. Here the line of the ticket roll, partly unraveled, is held down by the balancing marble elements thus creating an interdependence between elements de different natures. Gabriel Kuri’s sculptural work involves a narrative through various elements from daily life resulting from specific areas of our contemporary social structures : tickets, banknotes, bills, credit cards, toiletry samples from hotels…","Gabriel Kuri works from repurposed natural, industrial, and mass-produced objects and materials including soda cans, shopping bags, receipts, insulation foam, shells, and magazines. Focusing his attention – through almost Dadaist means – on consumer culture, Kuri playfully charts transactions and creates systems that speak about both everyday life and the global economy. His practice is often site-specific and refers to the site of exhibition. Kuri lives and works between Mexico and Brussels.",Untitled (Ticket Roll),Unspecified,"['elements.n.01', 'ephemeral.s.01', 'keep.v.01', 'specific.a.01', 'sculptural.a.01', 'daily.s.01', 'narrative.s.01', 'structure.n.01', 'public.a.01', 'contemporary.s.01', 'nature.n.01', 'make.v.03', 'material.n.01', 'sculpture.n.01', 'social.a.01', 'life.n.01', 'series.n.01']","['everyday.s.03', 'ostentatious.a.01', 'juxtaposition.n.01', 'tension.n.03', 'ephemeral.s.01', 'perennial.s.02']",https://kadist.org/wp-content/uploads/2016/04/gabrielkuri.jpg,https://kadist.org/wp-content/uploads/2016/04/gabrielkuri-300x225.jpg,https://kadist.org/work/untitled-ticket-roll/,"['Material_Physical/2.0', 'Society/1.6', 'Politics/1.6']","['Material_Physical', 'Society', 'Politics']",5.2,"['Immaterial/1.0', 'Time/1.0', 'Community/0.8']","['Immaterial', 'Time', 'Community']",2.8,"['Cultural/13.652986066221365', 'Material_Physical/7.570085470085469', 'Society/6.141025641025641']","['Cultural', 'Material_Physical', 'Society']",27.364097177332475,"['Arts/9.029054442289736', 'Materiality/4.06923076923077', 'Economy/2.371794871794872']","['Arts', 'Materiality', 'Economy']",15.470080083315377,0.6666666666666666,0.0
Renee Rhodes,"The artist writes about her work: “There is an endless desire to know what we look like from outer space and many of us have evolved into a species that exists across the disorienting spaces and timeframes of virtuality. Within my current work, dance and simple movement scores act as a language for simultaneously collecting, mapping and producing volumes of information and knowledge. Moving makes a map and performing is observation. Digital mediations translate bodies into uncanny organisms and minimal dances become distant accumulations of pixelated information. Entanglements between human physicality, technology and natural systems are imagined through a playful aesthetics of information. As every last body and landscape is mapped and measured, through rigorous technologies of ever increasing distance, I look for the newly emerging territories that mineralize at the intersections of the virtual and the physical. These are the territories that we live in, archived in the memory drives of muscles, or through endlessly shifting choreographies of information.”","Renée Rhodes grew up amidst the fantasy and rigor that is the world of classical ballet. Choreography, organization and the use of movement as a communicative language continues to be a primary influence in her current video, performance and book based works.",Moving Clocks Change Rhythm,Americas,"['dance.n.01', 'district.n.01', 'technology.n.01', 'body.n.01', 'cognition.n.01', 'map.n.01', 'aesthetics.n.01', 'playful.a.01', 'current.a.01', 'distance.n.01', 'space.n.01', 'function.n.01', 'desire.n.01', 'physical.a.01', 'simple.a.01', 'natural.a.01', 'language.n.01', 'memory.n.01', 'motion.n.03', 'human.a.01', 'landscape.n.01']","['map.v.02', 'choreography.n.02', 'perspective.n.02', 'information.n.02', 'video_recording.n.01', 'performance.n.03']",https://kadist.org/wp-content/uploads/2016/04/renee_rhodes_moving_clocks.jpg,https://kadist.org/wp-content/uploads/2016/04/renee_rhodes_moving_clocks-200x300.jpg,https://kadist.org/work/moving-clocks-change-rhythm/,"['Cultural/9.621304675716441', 'Individual_Personal/5.684493284493285', 'Society/2.3692307692307693']","['Cultural', 'Individual_Personal', 'Society']",17.675028729440495,"['Arts/4.1495098039215685', 'Mind/2.488888888888889', 'Language/2.3692307692307697']","['Arts', 'Mind', 'Language']",9.007629462041226,"['Cultural/36.237697089632086', 'Individual_Personal/27.23728961097383', 'Material_Physical/24.009487897723197']","['Cultural', 'Individual_Personal', 'Material_Physical']",87.48447459832911,"['Arts/12.722334021327832', 'Emotion/12.381618381618384', 'Land/9.320721108956404']","['Arts', 'Emotion', 'Land']",34.42467351190262,0.6666666666666666,0.3333333333333333
Fiamma Montezemolo,"Montemozolo writes of the work: “Fireflies is the result of a sudden event—and its transformation/translation into an art work—that erupts within a life, altering its flow, suspending it, creating a momentary intensity and deviation of the flow, channeling it somewhere unexpected. This unforeseen deviation is dissected in terms of affects in the time frame of 5 minutes. The affects that emerge in the piece are characterized by a sense of movement between pain and hope, and a work of association between cancer and expectancy. The concept of resistance and fireflies is taken from [Georges] Didi-Huberman’s work on the political relevance of the survival of fireflies as a metaphor for the contemporary importance of an intermittent resistance opposed to an inoperable, redemptive, absolute one.”","Born in Rome, Fiamma Montezemolo is both a cultural anthropologist (PhD, University of Naples)  and an artist (MFA, San Francisco Art Institute). Not surprisingly then, she situates her art practice as a critical response to the “ethnographic turn” that was prevalent in contemporary art during the 1990s. In addition to ethnography—a research method adopted as a “medium” by many artists—Montezemolo works with various media including installation, cartography, video, digital photography, industrial materials, performance, and archival documents. Her art practice straddles various disciplines, sensibilities, and methodologies, including institutional critique, social art, and indigenous media.",Fireflies,Americas,"['resistance.n.01', 'association.n.01', 'concept.n.01', 'metaphor.n.01', 'frame.n.01', 'consequence.n.01', 'contemporary.s.01', 'sense.n.01', 'motion.n.03', 'political.a.01', 'piece.n.01', 'life.n.01', 'time.n.01']","['survival.n.01', 'adjust.v.03', 'surprise.n.02', 'cancer.n.01', 'deviation.n.01', 'hope.n.01']",https://kadist.org/wp-content/uploads/2016/04/fiamma_montezemolo_fireflies.jpg.jpeg,https://kadist.org/wp-content/uploads/2016/04/fiamma_montezemolo_fireflies.jpg-300x225.jpeg,https://kadist.org/work/fireflies/,"['Individual_Personal/4.118681318681318', 'Material_Physical/4.087912087912088', 'Society/0.8']","['Individual_Personal', 'Material_Physical', 'Society']",9.006593406593407,"['Body/2.58021978021978', 'Time/1.7802197802197801', 'Materiality/1.5384615384615385']","['Body', 'Time', 'Materiality']",5.898901098901098,"['Individual_Personal/12.725274725274726', 'Politics/8.349622926093515', 'Cultural/8.062443438914027']","['Individual_Personal', 'Politics', 'Cultural']",29.137341090282266,"['Values/5.104761904761904', 'Time/3.4687978687978687', 'Geopolitics/3.2026143790849675']","['Values', 'Time', 'Geopolitics']",11.776174152644739,0.3333333333333333,0.3333333333333333
Mladen Stilinovic,"The Exploitation of the Dead cycle is composed of a very large number of elements which the artist reorganizes differently every time. The installation is presented like a “parade of objects”, with images whose historical role has been suspended or their meaning has changed. The references have become lost, through repetition the works have become banal. One can find copies of Suprematist or Social Realist paintings, collages, photographs of political meetings, cemeteries or other memorials. We are confronted with the obsolescence of signs. Colors like red and black have also lost their meaning.  Exploitation of the Dead concerns today’s religious or ideological ideas which are only extensions of religions and ideologies of the past and definitively dead. Mladen Stilinovic insists that: “If death has to be exploited, this is a violent act and we need to weigh up the consequences.” Collective rituals are central since they evoke a certain collective emotion which can’t quite be attained through signs and colors. This work is a way to think about painting but also the modalities of its exhibition. There is also this question of the copy. Why and how do we copy things? What do we learn through repetition ? About loss of integrity ?","Mladen Stilinovic’s work is based on social and political critique, with a healthy dose of irony. He was part of Grupa šestorice autora (Group of Six Authors), active in Zagreb between 1975 and 1979. He also ran the Extended Media Gallery from 1981 to 1991. His work is deeply rooted in the rites that reveal the interdependence of private and public spheres. He is particularly interested in the interaction between visual and linguistic signs as well as in the mechanisms of deconstruction in language. His polymorphic approach finds varied manifestations from collages, installations, photographs, books, performances, actions in public space as well as participations in collective actions.  Mladen Stilinovic was born in 1947 in Belgrade, Serbia. He lives and works in Zagreb, Croatia.",Exploitation of the Dead,Europe,"['repeat.n.01', 'lose.v.01', 'sign.n.01', 'colors.n.01', 'corporate.s.03', 'meaning.n.01', 'confront.v.01', 'loss.n.01', 'change.v.01', 'religious.s.01', 'red.s.01', 'compose.v.01', 'collage.n.01', 'death.n.01', 'cardinal.s.01', 'function.n.03', 'elements.n.01', 'consequence.n.01', 'historical.a.01', 'mention.n.01', 'idea.n.01', 'black.a.01', 'question.n.01', 'political.a.01', 'object.n.01']","['obsoleteness.n.01', 'meaning.n.01', 'collection.n.01', 'circulation.n.06', 'copy.n.02', 'ideology.n.02']",https://kadist.org/wp-content/uploads/2016/04/par_1.jpg,https://kadist.org/wp-content/uploads/2016/04/par_1-300x177.jpg,https://kadist.org/work/exploitation-of-the-dead/,"['Cultural/5.944281045751634', 'Individual_Personal/4.0777777777777775', 'Material_Physical/1.7222222222222223']","['Cultural', 'Individual_Personal', 'Material_Physical']",11.744281045751634,"['Arts/1.675', 'Design/1.6470588235294117', 'Media/0.9333333333333333']","['Arts', 'Design', 'Media']",4.2553921568627455,"['Individual_Personal/16.725621746674385', 'Cultural/11.375782877253467', 'Material_Physical/7.678321678321678']","['Individual_Personal', 'Cultural', 'Material_Physical']",35.77972630224953,"['Values/5.12967032967033', 'Mind/5.107692307692307', 'Time/4.370629370629371']","['Values', 'Mind', 'Time']",14.607992007992006,1.0,0.0
Federico Herrero,"Federico Herrero’s energetic paintings reflect his experiences on the streets of his native San José, Costa Rica, and in the surrounding tropical landscape. Rooted in Central American folklore, politics, and culture, his works often move beyond the canvas onto the wall or into the streets. In Árbol y Pelicao (Tree and Pelican, 2009), a tree with cartoonlike creatures drawn in pen beside it emerges from a field of bright swaths of color. This imagined landscape fuses abstract painting and graffiti art. Despite the roar of colors, the scene is peaceful—a vision of urbanity and nature coexisting in harmony.","Federico Herrero makes colorful paintings, often on walls and as murals. Whether depicting recognizable objects or more generally abstract, his paintings have a consistent quality of rounded shapes, wobbling fields of color, and all-over markings. Herrero’s works are full of energy and life, hovering somewhere between painted-over graffiti and painterly abstraction. Additionally, bright and varied colors combine with shapes resembling eyes to give some of his pieces a more cartoon-like sensibility.",Arbol y Pelicao (Tree and Pelican),Unspecified,"['tree.n.01', 'street.n.01', 'landscape.n.01', 'field.n.01', 'pull.v.01', 'native.a.01', 'animal.n.01', 'politics.n.01', 'vision.n.01', 'colors.n.01', 'abstract.a.01', 'american.a.01', 'color.n.01', 'cardinal.s.01', 'nature.n.01', 'wall.n.01', 'experience.n.01', 'culture.n.01', 'scene.n.01']","['nature.n.03', 'urban.a.02', 'central_america.n.01', 'graffito.n.01', 'coexist.v.01', 'abstraction.n.04']",https://kadist.org/wp-content/uploads/2016/04/federicoherrero_arbolypelicao.jpg,https://kadist.org/wp-content/uploads/2016/04/federicoherrero_arbolypelicao-263x300.jpg,https://kadist.org/work/arbol-y-pelicao-tree-and-pelican/,"['Cultural/6.8367033723070865', 'Material_Physical/6.2846153846153845', 'Society/1.7692307692307692']","['Cultural', 'Material_Physical', 'Society']",14.89054952615324,"['Arts/4.265274800878516', 'Space/2.6153846153846154', 'Design/2.571428571428571']","['Arts', 'Space', 'Design']",9.452087987691703,"['Material_Physical/12.584279609279612', 'Society/8.24788283611813', 'Individual_Personal/4.796581196581197']","['Material_Physical', 'Society', 'Individual_Personal']",25.62874364197894,"['Land/5.782692307692308', 'Urbanization/3.258119658119658', 'Immaterial/2.511111111111111']","['Land', 'Urbanization', 'Immaterial']",11.551923076923076,0.6666666666666666,0.0
Allora & Calzadilla,"Intermission (Halloween Iraq IV) is a large print that depicts U.S. soldiers in Iraq celebrating Halloween. They ride donkeys—apparently playing polo—while wearing masks that simultaneously familiarize the soldiers, through the recognition of a common holiday, and distance them, through the obscuring of their faces. Its means of reproduction—a woodblock print—further amplifies the distance between the event and its presentation, as well as the engagement of the artists.","Jennifer Allora and Guillermo Calzadilla comprise the artistic duo Allora & Calzadilla. Their work often takes the form of performances, installations, and sound pieces that refer to sociopolitical phenomena and history. Forms from these spheres of life—an overturned tank, a treadmill, a piano—are displaced and spliced together in new configurations, often with performers or viewers engaging with these material segments of the world.",Intermission (Halloween Iraq IV),Americas,"['soldier.n.01', 'mask.n.01', 'presentation.n.01', 'distance.n.01', 'common.a.01', 'event.n.01', 'artist.n.01']","['distance.n.03', 'war.n.01', 'costume.n.01', 'iraq.n.01', 'celebration.n.01', 'play.v.01']",https://kadist.org/wp-content/uploads/2016/04/allora_calzadilla_intermission.jpg,https://kadist.org/wp-content/uploads/2016/04/allora_calzadilla_intermission-300x214.jpg,https://kadist.org/work/intermission-halloween-iraq-iv/,"['Society/5.226307189542483', 'Material_Physical/2.6198830409356724', 'Cultural/0.7777777777777778']","['Society', 'Material_Physical', 'Cultural']",8.623968008255934,"['War/2.75', 'Land/2.6198830409356724', 'Violence/1.6985294117647058']","['War', 'Land', 'Violence']",7.068412452700378,"['Society/5.8', 'Politics/4.8', 'Cultural/3.9692307692307693']","['Society', 'Politics', 'Cultural']",14.569230769230769,"['War/2.6', 'Community/1.6', 'Power/1.6']","['War', 'Community', 'Power']",5.800000000000001,0.6666666666666666,0.3333333333333333
Brenna Youngblood,"Brenna Youngblood’s chromogenic print Red Door (2007) is representative of the artist’s interest in conceptual photography; she also works in multimedia collage and assemblage, drawing imagery from the everyday and giving new meanings to seemingly mundane objects and places. The image of a red door inspires a tension between potential meaning and purposeful ambiguity, leaving the viewer to wonder about her formal decisions. The color red on a door is often used to symbolize good luck, and in almost every culture, means “welcome.” Some say a red door was a sign of a safe house on the Underground Railroad.","Brenna Youngblood’s images reflect the experiences of a working-class woman of color growing up in Central California and eventually landing in Los Angeles. Ironically, her photo collages, assemblages, and paintings have often been compared to the work of Robert Rauschenberg or Richard Prince, but they are closer in spirit with more contemporary artists like Mark Bradford. Youngblood’s work captures a kind of social architecture, that is, an out-of-focus zone where portraits of people become landscapes and buildings become familiar characters. It is in these marginal transitions where Youngblood investigates issues of identity, race, and social status.",Red Door,Americas,"['red.s.01', 'everyday.s.01', 'meaning.n.01', 'potential.a.01', 'gathering.n.01', 'imagination.n.02', 'conceptual.s.01', 'formal.a.01', 'sign.n.01', 'tension.n.01', 'house.n.01', 'collage.n.01', 'color.n.01', 'photography.n.01', 'culture.n.01', 'spectator.n.01', 'object.n.01', 'image.n.01']","['ambiguous.a.02', 'meaning.s.01', 'everyday.s.03', 'welcome.n.01', 'symbolism.n.01', 'safety.n.02']",https://kadist.org/wp-content/uploads/2016/04/IMG_Brenna-Red-Door_WEB.jpg,https://kadist.org/wp-content/uploads/2016/04/IMG_Brenna-Red-Door_WEB-300x236.jpg,https://kadist.org/work/red-door/,"['Material_Physical/4.964835164835165', 'Society/2.426373626373626']","['Material_Physical', 'Society']",7.391208791208792,"['Land/2.307692307692308', 'Urbanization/1.5692307692307694', 'Time/1.0']","['Land', 'Urbanization', 'Time']",4.876923076923077,"['Cultural/12.605752030906832', 'Individual_Personal/9.346436226312386', 'Society/6.729079254079253']","['Cultural', 'Individual_Personal', 'Society']",28.681267511298472,"['Arts/5.344427244582043', 'Mind/5.136780866192631', 'Community/3.3874125874125873']","['Arts', 'Mind', 'Community']",13.86862069818726,0.4,0.0
Francis Alÿs,,"Trained as an architect, Alÿs turned to a visual arts based practice in the early 1990s as a more immediate, direct, and effective way of exploring issues related to urbanization, to the ordering and signification of urban space and to the semiotics of its use. His work initiates with a simple action, either by him or others, which is then documented in a range of media. Alÿs explores subjects such as modernizing programs in Latin America and border zones in areas of conflict, often asking about the relevance of poetic acts in politicized situations. Documentation is central to his practice as well as painting, drawing, and video. In his work, When Faith Moves Mountains (2002) made in collaboration with Mexican critic Cuauhtemoc Medina, Alÿs recruited 500 volunteers outside of Lima, Peru. Each person moved a shovel full of sand one step at a time form one side of a dune to the other, and together they moved the entire geographical location of the dune by a few inches. Critic Jean Fisher linked Alÿs’ work to the radical event of precipitating a crisis of meaning, where the exposure of a void of meaning is confronted by its social situation, leading up to some kind of truth. Francis Alÿs was born in Belgium in 1959. He lives and works in Mexico City.",Pink Man Walking on Boats with Woman Following,Europe,[],"['concept.n.01', 'sketch.n.01', 'motion.n.06', 'raw.s.04', 'procedure.n.01', 'shadow.v.01']",https://kadist.org/wp-content/uploads/2016/04/francis_alys_-_pink_man_walking_on_boats_with_woman_following_2007.jpg,https://kadist.org/wp-content/uploads/2016/04/francis_alys_-_pink_man_walking_on_boats_with_woman_following_2007-300x300.jpg,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/,"['Cultural/15.57068340156576', 'Individual_Personal/11.083058608058609', 'Politics/9.965541304240995']","['Cultural', 'Individual_Personal', 'Politics']",36.61928331386536,"['Values/4.247619047619048', 'Culture/3.964835164835165', 'Geopolitics/3.4313725490196076']","['Values', 'Culture', 'Geopolitics']",11.64382676147382,[],[],0.0,[],[],0.0,,
Francis Alÿs,,"Trained as an architect, Alÿs turned to a visual arts based practice in the early 1990s as a more immediate, direct, and effective way of exploring issues related to urbanization, to the ordering and signification of urban space and to the semiotics of its use. His work initiates with a simple action, either by him or others, which is then documented in a range of media. Alÿs explores subjects such as modernizing programs in Latin America and border zones in areas of conflict, often asking about the relevance of poetic acts in politicized situations. Documentation is central to his practice as well as painting, drawing, and video. In his work, When Faith Moves Mountains (2002) made in collaboration with Mexican critic Cuauhtemoc Medina, Alÿs recruited 500 volunteers outside of Lima, Peru. Each person moved a shovel full of sand one step at a time form one side of a dune to the other, and together they moved the entire geographical location of the dune by a few inches. Critic Jean Fisher linked Alÿs’ work to the radical event of precipitating a crisis of meaning, where the exposure of a void of meaning is confronted by its social situation, leading up to some kind of truth. Francis Alÿs was born in Belgium in 1959. He lives and works in Mexico City.",Boat with Legs,Europe,[],"['concept.n.01', 'sketch.n.01', 'motion.n.06', 'raw.s.04', 'procedure.n.01', 'strange.a.01']",https://kadist.org/wp-content/uploads/2016/04/francis_alys_-_boat_with_legs.jpg,https://kadist.org/wp-content/uploads/2016/04/francis_alys_-_boat_with_legs-300x300.jpg,https://kadist.org/work/boat-with-legs/,"['Cultural/15.57068340156576', 'Individual_Personal/11.083058608058609', 'Politics/9.965541304240995']","['Cultural', 'Individual_Personal', 'Politics']",36.61928331386536,"['Values/4.247619047619048', 'Culture/3.964835164835165', 'Geopolitics/3.4313725490196076']","['Values', 'Culture', 'Geopolitics']",11.64382676147382,[],[],0.0,[],[],0.0,,
